"Frist Name","Last Name","Hire Date"
"Ziva","Vecchi","7/3/1986"
"Dines","Encarnacion","8/2/1986"
"Zhenhua","Milicic","8/4/1986"
"Stabislas","Domenig","8/4/1986"
"Shuichi","Swiler","6/8/1986"
"Teiji","Eickenmeyer","9/3/1986"
"Morrie","Sridhar","3/4/1986"
"Apostol","Ghelli","4/7/1986"
"Radhakrishnan","Albarhamtoshy","5/7/1986"
"Zhiwei","Kaminger","7/4/1986"
"Fox","Erva","5/6/1986"
"Kristine","Litzler","1/9/1986"
"Wayne","Levergood","5/5/1986"
"Odysseas","Erie","2/6/1986"
"JiYoung","Delaune","9/4/1986"
"Neven","Leivant","9/2/1986"
"Sarita","Hofting","7/3/1986"
"Bedrich","Delaune","4/6/1986"
"Susanne","Asser","8/5/1986"
"Berni","Thorelli","8/5/1986"
"Hyuncheol","Chaudhuri","7/9/1986"
"Takahira","Spieker","6/5/1986"
"Krassimir","Sgarro","8/4/1986"
"Hausi","Kambil","7/3/1986"
"Feipei","Clouatre","3/5/1986"
"Alain","Fujisaki","4/7/1986"
"Snehasis","Anily","3/3/1986"
"Shem","Petersohn","7/8/1986"
"Mokhtar","Chiodo","4/6/1986"
"Joydip","Terkki","3/1/1986"
"Jeanne","Zlotek","9/3/1986"
"Insup","Copas","1/3/1986"
"Boguslaw","Luks","5/7/1986"
"Isamu","Kobuchi","2/2/1986"
"Munehiko","Beznosov","1/3/1986"
"Mikhail","Salvesen","8/9/1986"
"Rimli","Bellone","2/3/1986"
"Hisao","Lodder","5/8/1986"
"Jianwen","Baranowski","5/9/1986"
"Serge","Sifakis","6/7/1986"
"Vidya","Dymetman","1/1/1986"
"Lijia","Birta","2/1/1986"
"Arne","Geffroy","9/7/1986"
"Mads","Ramalingam","8/1/1986"
"Xuedong","Fujisaki","3/9/1986"
"Ottavia","Perl","7/1/1986"
"Shawna","Leuchs","9/8/1986"
"Tsz","Suppi","3/8/1986"
"Boriana","Lunn","8/6/1986"
"Sedat","Kuhnemann","6/2/1986"
"Masali","Dichev","2/2/1986"
"Conor","Hofting","7/3/1986"
"Petter","Serra","7/5/1986"
"Jiakeng","Suermann","8/7/1986"
"Udo","Tetzlaff","4/9/1986"
"Danel","Danecki","5/4/1986"
"Arnould","Farrar","3/1/1986"
"Maren","Parascandalo","7/6/1986"
"Hilary","Ghazalie","5/4/1986"
"Lihong","Zwicker","9/3/1986"
"Wojceich","Bugaenko","9/3/1986"
"Toong","Mitchem","2/5/1986"
"Keiichiro","Szilard","8/5/1986"
"Amstein","Kugler","9/2/1986"
"Shigehito","Matzat","8/7/1986"
"Giordano","Bultermann","6/1/1986"
"Ayakannu","Krogh","8/2/1986"
"Sven","Veccia","3/7/1986"
"Mani","Bolsens","4/4/1986"
"Ohad","Sridhar","8/5/1986"
"Paraskevi","Merlo","5/2/1986"
"Nechama","Yeung","2/2/1986"
"Alselm","Foote","5/1/1986"
"Leni","Osgood","8/5/1986"
"Oldrich","Rotem","3/6/1986"
"Kerhong","Rothenberg","3/7/1986"
"Yuping","Hofman","9/3/1986"
"Maren","Hellwagner","5/8/1986"
"Oksana","Riesenhuber","6/5/1986"
"Xuejun","Marrevee","9/3/1986"
"Mohan","Auyong","2/5/1986"
"Piyawadee","England","6/6/1986"
"Tua","Kadhim","9/1/1986"
"Haldon","Schoegge","6/7/1986"
"Frederique","Toyoshima","5/3/1986"
"Renny","Zuberek","8/1/1986"
"Conrado","Deville","6/4/1986"
"Christoper","Shackel","6/3/1986"
"Mari","Waschkowski","5/5/1986"
"Howell","Takkinen","6/2/1986"
"Weicheng","Parascandalo","6/2/1986"
"Vishwani","Erdmenger","2/3/1986"
"Zongyan","Jeansoulin","8/1/1986"
"Elrique","Ravishankar","9/5/1986"
"Jordanka","Stentiford","5/5/1986"
"Demin","Byoun","3/7/1986"
"Srinidhi","Vickson","6/7/1986"
"Khaled","Panwar","7/6/1986"
"Anyuan","Cannane","2/2/1986"
"Karlis","Merkl","5/5/1986"
"Alejandro","Liesche","9/8/1986"
"Lucien","Riesenhuber","9/4/1986"
"Valeri","Kossowski","3/4/1986"
"Teiji","Chartres","4/4/1986"
"Mohd","Fujisawa","9/7/1986"
"Khalil","Bolsens","8/4/1986"
"Krisda","Thibadeau","3/8/1986"
"Tomokazu","Yetim","7/6/1986"
"Serge","Chaudhury","1/4/1986"
"Rasikan","Beetstra","3/5/1986"
"Heather","Ratzlaff","2/8/1986"
"Masanao","Smeets","4/6/1986"
"Jiann","McFarlan","2/4/1986"
"Gila","Schreiter","7/6/1986"
"Moto","Christianini","5/3/1986"
"Salvador","Berstel","2/5/1986"
"Douadi","Khalil","9/8/1986"
"Jordanka","Demizu","5/8/1986"
"Sushant","Reghbati","9/8/1986"
"Remmert","Feldhoffer","4/1/1986"
"Palash","Onuegbe","2/3/1986"
"Pasqua","Marzano","9/5/1986"
"Mamdouh","Ghandeharizadeh","1/8/1986"
"Magy","Assaf","7/7/1986"
"Gino","Pashtan","8/3/1986"
"Xianlong","Knightly","5/9/1986"
"Goh","Benaini","4/3/1986"
"Giap","Krychniak","4/5/1986"
"Taiji","Hainaut","2/3/1986"
"Girolamo","Streit","2/7/1986"
"Jaewoo","Ratnaker","6/2/1986"
"Valeska","Katalagarianos","3/8/1986"
"Youjian","Ranta","7/4/1986"
"Sastry","Jonsson","5/1/1986"
"Ottavia","Ventosa","1/4/1986"
"Leandro","Bondorf","9/5/1986"
"Yifei","Merli","6/7/1986"
"Shao","Ramsak","4/7/1986"
"Eirik","Paludetto","6/9/1986"
"Irena","Rikino","3/8/1986"
"Premal","Hanratty","9/8/1986"
"Sakthirel","Ramsak","9/4/1986"
"Hsiangchu","Biros","8/2/1986"
"Hitomi","Herber","2/2/1986"
"Shahar","Murtha","6/6/1986"
"Subir","Suessmith","1/5/1986"
"Francesca","Basawa","2/5/1986"
"Mrinalini","Hennebert","2/8/1986"
"Lobel","Zuberek","8/4/1986"
"Pranjal","Worfolk","9/9/1986"
"Morrie","Smeets","1/6/1986"
"Uwe","Callaway","5/9/1986"
"Tzvetan","Picel","6/7/1986"
"Greger","Anily","3/8/1986"
"Arnould","Kavvadias","1/3/1986"
"Mohammad","Yoshimura","8/1/1986"
"Heon","Thorelli","8/2/1986"
"Lobel","Barvinok","5/7/1986"
"Xumin","Conta","4/3/1986"
"Mahmut","Peris","1/6/1986"
"Goa","Osgood","2/8/1986"
"Boaz","Melichar","9/5/1986"
"Mizuhito","Kossowski","1/8/1986"
"Taizo","Linares","4/4/1986"
"Yucel","Rosch","1/5/1986"
"Denis","Shackel","6/2/1986"
"Sreekrishna","Duclos","3/1/1986"
"Mototsugu","Edelhoff","3/5/1986"
"Shakhar","Heuter","3/4/1986"
"Nobuyoshi","Kitsuregawa","5/8/1986"
"Moty","Henders","5/5/1986"
"Arfst","Barriga","6/1/1986"
"Sergi","Mitchem","9/2/1986"
"Anneke","Munke","8/2/1986"
"Marlo","Tiemann","9/5/1986"
"Reinhold","Wegerle","8/9/1986"
"Maria","Warwick","8/7/1986"
"Yifei","Stanger","9/2/1986"
"Morrie","Luck","2/3/1986"
"Chiradeep","Pettis","7/5/1986"
"Sergi","Schiettecatte","1/4/1986"
"Baoqiu","Kakkar","3/3/1986"
"Toshiki","Katiyar","2/9/1986"
"Odoardo","Hanabata","4/8/1986"
"Zhenhua","Adachi","7/1/1986"
